P,C,x000
0.24,0.09565268973318476,0.1258332787534792
0.24130743512328776,0.09615090989481945,0.12496188315031004
0.24316829753015545,0.09686734162316087,0.12372962802869833
0.24581687456738935,0.09790198636402307,0.12199185704707372
0.2495866280286454,0.09940520428394108,0.11955084792417038
0.2549520961843261,0.10160757321748447,0.11614155462431186
0.2625884077146179,0.10487156573057974,0.11141951493210592
0.2731809991355548,0.10965561474576137,0.10511983931984285
0.28625768125044315,0.11597723855812114,0.09774145441246677
0.29933495557423506,0.12275435266485663,0.09080335445099526
0.3124183455252992,0.12997165422571058,0.08430561420630575
0.3255164984549678,0.13760049900450008,0.07824774287885226
0.3386392498016438,0.14559882852355815,0.07262723180001382
0.35179634420038003,0.15391316287122617,0.06743786533557174
0.3649962898480728,0.16248205511313282,0.06266859581615457
0.36673150623386896,0.16362165215084332,0.06207330013487119
0.37998591479475236,0.17239883683651835,0.057759946194905265
0.39329575107390313,0.18129374033896767,0.05382588648841992
0.4066607904195174,0.19024556244358876,0.05024663879393729
0.4200805495819789,0.19920141472128874,0.04699495785093573
0.433553100990454,0.20811635280750684,0.044042743444417415
0.44707556084194855,0.21695355472765238,0.041362178813293723
0.4606445060532445,0.2256838408729651,0.038926584924021825
0.4742562933075524,0.23428482169477186,0.03671098416202385
0.48790728208034534,0.24273989610214078,0.03469241335200507
0.5015939773319994,0.25103724862907495,0.03285004416613102
0.5153131114078985,0.25916892925642815,0.031165168868830345
0.5290616832323849,0.26713005372912285,0.029621100285567307
0.5428369693640394,0.2749181332467306,0.028203023173516986
0.5566365176894267,0.282532526406707,0.026897823179972295
0.5704581312612749,0.2899739988819483,0.025693910645556876
0.5842998472589812,0.2972443740559762,0.024581049863154947
0.5981599142241725,0.3043462583400374,0.02355019975383848
0.6120367694679437,0.31128282667385987,0.02259336882879616
0.6155519015937057,0.3130128752892032,0.02236204534217952
0.6294476077878374,0.31974725326799897,0.02148809911476718
0.6433574000306272,0.32632486277976,0.020673347195528772
0.6572799565283545,0.33274964355931963,0.019912405640338398
0.6712143013222738,0.3390257322537011,0.019200470529250106
0.68515955603606,0.345157293060034,0.018533259234818748
0.6991149282231118,0.3511484768072761,0.017906946118668693
0.7130797012132541,0.3570033902851076,0.017318106736282323
0.7270532252767139,0.36272607353041053,0.016763669429317663
0.7410349099388308,0.3683204832901869,0.016240873308730152
0.7550242172940713,0.37379048127387865,0.01574723175385941
0.7690206561845182,0.3791398261143977,0.015280500666446817
0.7830237771244748,0.38437216819522785,0.014838650821601254
0.797033167868275,0.38949104668593343,0.014419843749186482
0.8110484495324147,0.39449988827233895,0.014022410659160104
0.825069273195565,0.39940200717969504,0.013644833993812524
0.8390953169109227,0.40420060617458003,0.013285731249650318
0.8531262830747804,0.4088987782995728,0.012943840762943932
0.8671618961033135,0.4134995091481954,0.012618009196794924
0.8812019003765169,0.418005679529526,0.012307180504980872
0.8952460584141514,0.4224200684047994,0.012010386179716937
0.9092941492535964,0.42674535600419794,0.011726736617635267
0.9233459670037958,0.43098412705242745,0.011455413461427609
0.9374013195531256,0.43513887404775825,0.011195662794325907
0.9514600274121131,0.4392120005518991,0.010946789081428017
0.9655219226745724,0.4432058244581093,0.010708149766249396
0.9795868480829625,0.4471225812128722,0.01047915044317246
0.9936546561856936,0.45096442697271233,0.01025924053698727
1.0077252085757331,0.4547334416826891,0.010047909429739186
1.0217983752012652,0.4584316320669872,0.009844682982846405
1.0358740337403487,0.46206093452510155,0.009649120409113364
1.049952069032548,0.4656232179295125,0.009460811455006265
1.0640323725613896,0.4691202863226385,0.009279373858510563
1.0781148419822606,0.47255388151230504,0.009104451052171825
1.092199380691014,0.4759256855661111,0.008935710084628727
1.1062858974291212,0.47923732320592355,0.00877283973716252
1.1203743059216953,0.48249036410439444,0.00861554881458082
1.1344645245451375,0.4856863250858678,0.008463564592184877
1.1485564760215319,0.48882667223439913,0.00831663140268874
1.162650087137234,0.4919128229118482,0.008174509348809469
1.1767452884833816,0.4949461476891667,0.008036973128865936
1.190842014216304,0.4979279721940943,0.007903810964141736
1.2049402018360242,0.5008595788785126,0.007774823618011936
1.2190397919812341,0.50374220870871,0.007649823497926591
1.2331407282392974,0.5065770627817847,0.00752863383230628
1.2472429569699757,0.5093653038713398,0.0074110879152535876
1.2613464271417099,0.5121080579055745,0.007297028412732905
1.275451090179403,0.514806415380769,0.007186306724533572
1.2895568998227498,0.5174614327130824,0.0070787823969173476
1.3036638119942583,0.5200741335314636,0.006974322581371446
1.3177717846761792,0.5226455099143908,0.006872801535349538
1.3318807777956405,0.5251765235730271,0.006774100161294074
1.3459907531173463,0.527668106983287,0.0066781055805983335
1.3601016741432537,0.5301211644691936,0.006584710739492598
1.374213506018701,0.5325365732398063,0.006493814044129631
1.3883262154445,0.5349151843818886,0.0064053190224046125
1.4024397705945497,0.537257823810392,0.006319134010277256
1.4165541410385711,0.5395652931787344,0.006235171860572327
1.430669297669589,0.5418383707507473,0.0061533496724217865
1.4447852126358223,0.5440778122360928,0.006073588539679637
1.4589018592766745,0.5462843515908513,0.005995813316791635
1.473019212062534,0.5484587017848978,0.005919952400738009
1.4871372465381247,0.5506015555376167,0.0058459375277896755
1.5,0.5525269445718948,0.0057800585369530855
