P,V_max,V_min
0.36773150623386897,0.18094111031009338,0.14941415363873883
0.36822253700051,0.18520759982454213,0.14667343576386496
0.36887985071548096,0.1901097042386015,0.1437856954707438
0.36977451464964806,0.19595212902230302,0.14069908495531594
0.3710250388724881,0.20314192411520984,0.1373360795566052
0.37297106119828166,0.212971440967477,0.1333590111370949
0.3755888695216878,0.22461841484464362,0.12942701649336394
0.3792255661611861,0.23900169660020323,0.12548984678745242
0.3837733899591618,0.2549538776450805,0.12204130131127335
0.38922544510808293,0.27195072351090893,0.11918339349735199
0.39655895005472797,0.2920797747850958,0.11669091616383412
0.4058424370282271,0.3143461642250033,0.11485933344279939
0.4159227184218073,0.335234614117703,0.1138930366818594
0.4263017361822634,0.35392356297359695,0.11363141177502027
0.4370221616988143,0.37115824693823274,0.11389475651680125
0.4480926900760009,0.3868242743162302,0.11460347321676195
0.45950116666949137,0.4011185194368082,0.11573091840413993
0.47122276278283215,0.4143654468755147,0.1172637747276816
0.4832252254905407,0.42628287738867876,0.11919388000560151
0.49547222952873554,0.43687372187411305,0.12160027037068451
0.5079252036236022,0.4463708293246011,0.12450005616075183
0.5205437047211475,0.4544494870865252,0.1279961171780044
0.5332841062035681,0.46090671862408994,0.13226141721996906
0.546095770416876,0.4654876081792129,0.13750280094001904
0.558912457154355,0.4677633821230997,0.14402182628220356
0.571632972695101,0.46702315635064956,0.15245948704455123
0.5840742854721066,0.4618602533319109,0.1638413973071968
0.5958485075432137,0.4498029420695076,0.1800349524793349
0.6060485654924234,0.42609683770252854,0.2049038518694743
0.6128974340026547,0.385065510233189,0.24373616224281158
0.6154286731448481,0.33041550063850855,0.2957906949245471
0.6148698754769338,0.352814224981109,0.2741319432161986
0.610674139961878,0.4037432188941477,0.22622316599970763
0.601750953661611,0.438597153750284,0.19230639219235698
0.5902411608352652,0.4567500793810296,0.17136752589790888
0.5779265860723376,0.46512787907131686,0.1576977790290121
0.5652707595417655,0.46782590132292745,0.14796938877582586
0.5524712487874865,0.46695428323536536,0.1405397014043982
0.5396427435977255,0.4634508140750122,0.1347109193519708
0.5268594413666082,0.4578741151496175,0.13002874048133534
0.5141760282631082,0.4505523540096171,0.12615478761281862
0.5016379857321828,0.44170810549306716,0.1229603995224537
0.48928656177911484,0.43175667580884086,0.12034400270468129
0.4771608875886701,0.4204512225094629,0.11816830203818149
0.4652982822274071,0.40780455598172727,0.11643865133086229
0.4537331151662171,0.3941483474297074,0.1151208712638325
0.44249426149518084,0.37913660276180994,0.11419120191996354
0.4316009569147083,0.3626582004452382,0.11370189857124816
0.4210565432984536,0.34484381809302084,0.11369704014095354
0.41083889806220575,0.32503790402189314,0.11427496568011182
0.4008847824933847,0.30287322751101164,0.11569051277728173
0.3910631786578429,0.2773005400334449,0.11844501257122403
0.3811484593545811,0.24599778524411264,0.12387210577193972
0.37119899190923605,0.2040569360559113,0.1369238392775595
0.36764116285117066,0.18006052487447338,0.1500115504447079
0.36676505743581284,0.1665691403010078,0.1607794215720344
0.3673334696102234,0.17677840835149558,0.15234405152297287
0.37033642419730856,0.1992963752062092,0.13907839421589047
0.376454060953753,0.22823046447516307,0.12836520835352433
0.3846747549749713,0.25792630774812014,0.12150017184244653
0.39468123279852985,0.2872330673188712,0.11721694915559171
