nu4,V,stable
1.5,0.06589300180329469,true
1.5014108775896442,0.06591829164156549,true
1.5034718868529697,0.06595532666064173,true
1.5064051136806789,0.06600822326256184,true
1.5105796787183186,0.06608388953921546,true
1.516520912152383,0.066192361967155,true
1.5249764583614451,0.06634834805650153,true
1.537010351084677,0.06657366326157828,true
1.551118936094831,0.06684290395734345,true
1.5652274264743504,0.0671177824160929,true
1.5793358049465172,0.06739847075130073,true
1.5934440538692052,0.06768515022078822,true
1.6075521548383869,0.06797801185346027,true
1.6216600886190553,0.0682772571391296,true
1.6357678350694203,0.0685830987813785,true
1.6498753730575433,0.06889576152052408,true
1.6639826803694586,0.06921548303469922,true
1.6780897336076852,0.06954251492815451,true
1.692196508078872,0.06987712381715393,true
1.7063029776691212,0.07021959252531285,true
1.7204091147053124,0.07057022140194535,true
1.7345148898004716,0.07092932977900167,true
1.7486202716809172,0.07129725758453861,true
1.762725226992527,0.07167436713344741,true
1.7768297200830163,0.07206104511945342,true
1.790933712756565,0.0724577048363015,true
1.805037163996477,0.07286478866068684,true
1.819140029650746,0.07328277083504453,true
1.8332422620744315,0.07371216059497813,true
1.8473438097215618,0.07415350569414718,true
1.8614446166778087,0.07460739638917363,true
1.875544622123385,0.07507446995898079,true
1.8896437597133624,0.07555541584748612,true
1.9037419568598186,0.07605098153640878,true
1.9178391338966996,0.07656197927702493,true
1.931935203103838,0.07708929383717233,true
1.9460300675609088,0.0776338914542006,true
1.9601236197948435,0.07819683022793542,true
1.9742157401748373,0.07877927224278923,true
1.9883062949968675,0.07938249777860808,true
2.002395134183566,0.08000792206071357,true
2.016482088503978,0.08065711511781891,true
2.03056696618917,0.08133182547171854,true
2.0446495487809737,0.08203400858848574,true
2.058729585998133,0.08276586129678659,true
2.0728067893306017,0.08352986375294018,true
2.0868808239693393,0.08432883104579329,true
2.1009512985314465,0.08516597724888618,true
2.115017751826614,0.08604499573617812,true
2.1290796355953905,0.08697016102524008,true
2.143136291675372,0.08794645952631665,true
2.1571869213227717,0.0889797597252399,true
2.1712305432710934,0.09007703712252699,true
2.1852659352591286,0.09124667672826578,true
2.19929155068554,0.09249888789621333,true
2.2133053967611054,0.09384628609075289,true
2.2273048510884155,0.09530473010345314,true
2.2412863759758554,0.09689456374814481,true
2.2552450551592016,0.09864252427005774,true
2.2691738052562456,0.10058480380304893,true
2.2830619516077197,0.10277222509335888,true
2.290440027204666,0.1040622812763482,false
2.304226064041471,0.10678342577131315,false
2.3179031762337896,0.11003417822729211,false
2.3313843543846793,0.11409324606295203,false
2.344458451438973,0.11955871314254878,false
2.3563690010319545,0.1281568864441099,false
2.3619383690088167,0.14249978379472195,false
2.3579232991344714,0.16054369530817264,false
2.3521988186799003,0.17856187242778718,false
2.3501580428193027,0.19406114511676725,false
2.3545991308190923,0.21490215566659057,false
2.36541307175497,0.23189047333462706,false
2.3773216320735893,0.24400942678302084,false
2.3897951383214746,0.2539853497494699,false
2.4026289699036645,0.262668140797926,false
2.4156940671932037,0.2704460441200148,false
2.4289171257914353,0.2775451229541133,false
2.442253987754554,0.284111197664354,false
2.455676364951033,0.29024463451473664,false
2.4691651786024957,0.2960178539436012,false
2.4827070076871505,0.30148505247112684,false
2.4962920785082225,0.3066879895305336,false
2.509913065614212,0.3116596209437109,false
2.5235643439163877,0.31642648037848214,false
2.537241504032667,0.3210102965737527,false
2.550941027708771,0.32542912492694837,false
2.5646600641627675,0.3296981598078904,false
2.5783962720927707,0.3338303307581332,false
2.5921477056037054,0.3378367486481651,false
2.6059127302356293,0.3417270453215293,false
2.619689960076099,0.3455096361230808,false
2.6334782099298684,0.3491919256069389,false
2.6472764584313278,0.3527804707129194,false
2.6610838192357433,0.35628111165207726,false
2.6748995182609634,0.3596990779577947,false
2.6887228755199857,0.3630390752115512,false
2.7025532904787335,0.36630535656794655,false
2.716390230150599,0.3695017822046475,false
2.7302332193372236,0.3726318690925806,false
2.7440818325682015,0.37569883294102135,false
2.7579356873973113,0.37870562376733913,false
2.771794438790639,0.3816549562347841,false
2.7856577744001902,0.3845493356674911,false
2.799525410560663,0.38739108047128945,false
2.8133970888806803,0.3901823415483445,false
2.827272573325715,0.3929251191834751,false
2.8345420573569178,0.39434307976476896,true
2.848422919305608,0.39701551904236776,true
2.8623070877267307,0.3996439502284482,true
2.8761943749381165,0.402229946460276,true
2.890084619250975,0.40477498661976785,true
2.9039776710403604,0.40728046126120704,true
2.917873391573694,0.40974768006730766,true
2.9317716519782278,0.41217787850780413,true
2.9456723323281255,0.4145722238025008,true
2.9595753208349085,0.4169318202756824,true
2.973480513127532,0.4192577141762495,true
2.9873878116104375,0.42155089802744394,true
3.001297124889664,0.4238123145612034,true
3.0152083672585284,0.4260428602847513,true
3.029121458235611,0.4282433887206818,true
3.0430363221487844,0.43041471335647635,true
3.05695288775988,0.43255761033478046,true
3.070871087925325,0.43467282091186316,true
3.0847908592886792,0.4367610537083193,true
3.098712142001544,0.4388229867731701,true
3.1126348794697525,0.4408592694800299,true
3.1265590181221397,0.4428705242718176,true
3.1404845071995235,0.444857348268634,true
3.1544112985618113,0.44682031475177175,true
3.16833934651139,0.4487599745353993,true
3.1822686076311784,0.45067685723620565,true
3.1961990406359053,0.4525714724502098,true
3.2101306062353325,0.45444431084494463,true
3.224063267008289,0.45629584517441235,true
3.237996987286509,0.45812653122342867,true
3.2519317330473663,0.45993680868732156,true
3.2658674718147034,0.46172710199236355,true
3.279804172567026,0.46349782106179904,true
3.2937418056524224,0.46524936203184025,true
3.3076803427096193,0.4669821079216273,true
