P,V_max,V_min
2.289440027204666,0.11021043063739684,0.09874804654990789
2.289489071449604,0.11003863805275194,0.09887632718286078
2.289559454717628,0.10978802075287121,0.09906705120495772
2.2896577718670383,0.10942431828312961,0.09934757763754168
2.289799299219221,0.10886669500609618,0.09978139344175949
2.2900039131664096,0.10796507387559885,0.10051255970207501
2.290293296330794,0.10625549252725384,0.10198445364871678
2.2903913671982514,0.10528823194634886,0.10287265183984523
2.290423069862793,0.10474728684233066,0.10338796313878432
2.290432704758199,0.10446359539971789,0.10366424919017991
2.2904373173360235,0.1041852481709816,0.10393886866155871
2.2904372989452964,0.1041875936754434,0.10393654421798873
2.290432220734205,0.10448244360135682,0.10364577190430978
2.2904226904427856,0.10475648104225126,0.10337952919344474
2.2904085528736147,0.10503184045785288,0.10311572309966757
2.290388197729559,0.10533012576066239,0.10283339598168806
2.290359383906215,0.1056636389590806,0.10252245940493165
2.290318994551028,0.10604445367101555,0.10217432705572414
2.2902627338727197,0.10648480607655095,0.10178076418928483
2.290184737360024,0.10699776445669577,0.10133088176991482
2.2900770757008146,0.10759897545642748,0.10081650530948337
2.289929155525792,0.1083117524939255,0.10022934517132
2.289727056275243,0.10915686289357018,0.09955293177172454
2.289452918065342,0.11016486432591124,0.09878351606290561
2.289084639338293,0.11137278368065257,0.09790073644424883
2.2886238483712704,0.11275014870278076,0.09695372127339523
2.2881856341417444,0.11397255557903894,0.09615435533093301
2.287769055122742,0.11510271101052137,0.09545434104265767
2.2873731634944536,0.11614610564900799,0.094832070535905
2.286997030742435,0.11714145067425626,0.09426719237571309
2.2866397542395576,0.11808214881834367,0.09374746060239796
2.28630046004976,0.11898220027878666,0.09327334955081246
2.285978304083215,0.11985723323909706,0.0928228533133816
2.285672472391214,0.12069602384566645,0.09240350302795897
2.2853821810575274,0.12150790658345423,0.09201396385256173
2.2851066758726066,0.12231048794297171,0.09163932922394324
2.2848452318896784,0.12308722266861052,0.09128220186586114
2.2845971529139324,0.12384028257549796,0.09094653871051597
2.2843617709515276,0.12458511978593277,0.09063045064144847
2.284138445632174,0.12532229846115156,0.09031793494060848
2.2839265636121286,0.1260411930019017,0.09001853920882077
2.2837255379606516,0.12674302216263125,0.08973435132177912
2.283534807531088,0.12743300111746886,0.08946430121873183
2.283353836316869,0.12813036736516462,0.08920350397736904
2.283182112792468,0.12881392290307359,0.08894141356869179
2.2830191492394425,0.12948443152836397,0.08869084386216228
2.2828644810579806,0.13014260468808175,0.08845112495161314
2.2827176660647686,0.13078910763820645,0.08822164582715399
2.2825782837783906,0.13145105730982118,0.0880018470893523
2.2824459346938832,0.13210315035434333,0.08777826569822517
2.282320239548428,0.13274534399175084,0.08755887849675836
2.282200838580449,0.13337809682702323,0.08734776692936631
2.2820873907846315,0.13400184579876498,0.08714454657745692
2.2819795731655335,0.13461700782729186,0.08694885941233275
2.281877079992537,0.1352469814418981,0.08676037116916618
2.281779622058923,0.1358737205283745,0.08657576289434486
2.2816869259477954,0.13649292890342146,0.08638334600244635
2.2815987333074883,0.13710490814918022,0.08619728384171021
2.2815148001389307,0.13770994987779206,0.08601733327262948
2.281434896097276,0.1383083361534572,0.08584326439290359
2.281358803809861,0.13890033985575434,0.08567485944213846
2.281286318212349,0.1394997983680737,0.08551191182802376
2.2812172459046347,0.1401078944529229,0.08535422525814544
2.2811514045278445,0.14071021620114155,0.08519730184469756
2.2810886221635163,0.14130696809626037,0.08503218873108775
2.281028736755772,0.14189835017800376,0.08487186626039667
2.2809715955570726,0.1424845580545886,0.08471618389330586
2.28091705459792,0.1430657829109366,0.0845649972165242
2.2808649781806496,0.14364221151571366,0.08441816754911935
2.2808152383972824,0.14421402622945922,0.08427556158715215
2.2807677146712297,0.14479856908511812,0.08413705108216474
2.2807222933224973,0.14539015685352122,0.08400251254962388
2.2806788671559017,0.14597742379127834,0.0838718270038963
2.2806373350717215,0.146560512208216,0.08373475109528337
2.2805976016980933,0.14713956249133522,0.08359406079050692
2.280559577044412,0.14771471301116504,0.08345697938573232
2.2805231761749303,0.14828610003740497,0.08332341141682362
2.2804883189017184,0.14885385766408846,0.08319326423477112
2.280454929496108,0.14941811774432337,0.0830664478854067
2.2804229364177537,0.14997900983455179,0.08294287499902954
2.2803922720604173,0.15053666114815883,0.08282246068878987
2.280362872513592,0.1511119559704121,0.08270512245681572
2.2803346773391113,0.15169230287733812,0.08259078010718969
2.2803076293618876,0.15226950556546226,0.08247935566498954
2.280281674473957,0.15284366838251912,0.0823707733006998
2.280256761451034,0.15341489483344742,0.08225460517500306
2.2802328417808115,0.15398328749625873,0.08213414369011461
2.280209869502277,0.15454894794708743,0.082016412590588
2.2801878010553374,0.15511197669409404,0.08190134889310997
2.280166595140095,0.15567247311988305,0.08178889100825479
2.280146212585148,0.15623053543205875,0.08167897870983068
2.2801266162243152,0.15678626062154377,0.08157155310572521
2.2801077707812327,0.15733974442826576,0.0814665566100295
2.2800896427612916,0.15789108131382282,0.08136393291625241
2.2800722003504283,0.15844451219898023,0.08126362697146346
2.280055413320301,0.15902116875190817,0.08116558495122625
2.2800392529394284,0.1595956743952312,0.08106975423520661
2.2800236918898764,0.16016811168265366,0.08097608338335571
2.2800087041891284,0.16073856292105462,0.08088452211258698
2.2799942651167835,0.16130711012150745,0.08079502127387801
2.2799803511457544,0.16187383495649302,0.08070090082439385
2.2799669398776645,0.16243881872303687,0.0805980678137208
2.279954009982167,0.16300214231148985,0.08049726520438728
2.279941541139912,0.16356388617969622,0.08039845094772284
2.279929513988928,0.1641241303322763,0.08030158375211689
